,author_id,feature_importance,features,feature_stats,author,feature_names
52,52,"[np.float64(222.57760179015762), np.float64(120.46344706965007), np.float64(98.86471101605737), np.float64(94.21176419658451), np.float64(93.60143187287493)]","[94, 5, 500, 79, 52]","[np.float64(0.038040007535953206), np.float64(0.1455416920022625), np.float64(0.009562505140342866), np.float64(0.03932845449390145), np.float64(0.048572342825084554)]",Gusev,"['(PROPN, ->, NOUN, acl)' '(PAD, <-, NUM, amod)' '(PART, <-, ADV, orphan)'
 '(NUM, <-, CCONJ, punct)' '(SYM, ->, PROPN, conj)']"
53,53,"[np.float64(225.85990217277498), np.float64(155.3950687662756), np.float64(132.18916848137889), np.float64(131.97701072923044), np.float64(101.35271176150829)]","[16, 8, 7, 60, 15]","[np.float64(0.031690199064685516), np.float64(0.04387497732318183), np.float64(0.045513144822185436), np.float64(0.014833710200491089), np.float64(0.032509389158703876)]",Gusiatnikova,"['(INTJ, ->, ADP, mark)' '(NOUN, <-, DET, PAD)' '(VERB, <-, PAD, case)'
 '(INTJ, ->, PUNCT, fixed)' '(ADJ, ->, INTJ, nummod)']"
54,54,"[np.float64(346.35841104091804), np.float64(241.7405716642041), np.float64(216.56336940939337), np.float64(214.56936463237935), np.float64(211.17852230672517)]","[237, 6, 154, 39, 993]","[np.float64(0.007507564102886159), np.float64(0.039653543756232305), np.float64(0.010628562993466465), np.float64(0.024723328568941678), np.float64(0.0012882625917112922)]",Hoffman,"['(AUX, ->, NUM, obl)' '(VERB, ->, DET, fixed)' '(INTJ, ->, NOUN, csubj)'
 '(ADV, <-, VERB, orphan)' '(VERB, <-, PART, compound)']"
55,55,"[np.float64(325.0558633800109), np.float64(298.2370243807792), np.float64(248.84377014005747), np.float64(247.56341413133654), np.float64(245.5941935397894)]","[450, 97, 64, 568, 427]","[np.float64(0.007020853615976124), np.float64(0.023002457496538647), np.float64(0.029368578069362532), np.float64(0.00535147874219831), np.float64(0.007447490037474715)]",Kassil,"['(PROPN, <-, VERB, fixed)' '(PUNCT, ->, VERB, nmod)'
 '(ADP, ->, PART, appos)' '(ADV, <-, ADJ, root)' '(AUX, ->, PROPN, obj)']"
56,56,"[np.float64(409.6032159886836), np.float64(330.1248766592441), np.float64(298.7809981763476), np.float64(298.03366508617387), np.float64(290.172338853695)]","[396, 613, 450, 86, 227]","[np.float64(0.007728757348581005), np.float64(0.004854780895309534), np.float64(0.006823875710710473), np.float64(0.020983089321920976), np.float64(0.011977471296334346)]",Kataev,"['(VERB, ->, AUX, advmod)' '(ADJ, ->, DET, advmod)'
 '(PROPN, <-, VERB, fixed)' '(VERB, ->, PART, case)' '(DET, <-, X, nsubj)']"
57,57,"[np.float64(339.39968223076426), np.float64(286.1610224691246), np.float64(218.8472397899505), np.float64(209.07779300008332), np.float64(208.62218923756853)]","[64, 35, 81, 204, 31]","[np.float64(0.0283871736002007), np.float64(0.04132202029687893), np.float64(0.023925172635412124), np.float64(0.013400266663423996), np.float64(0.046400810693422515)]",Kaverin,"['(ADP, ->, PART, appos)' '(ADJ, ->, PROPN, discourse)'
 '(VERB, <-, X, nummod)' '(PRON, ->, DET, amod)' '(NUM, ->, ADV, root)']"
58,58,"[np.float64(164.81444130500265), np.float64(140.7702845957671), np.float64(136.91884299493893), np.float64(135.1712604592617), np.float64(124.52729709622659)]","[4, 11, 10, 52, 31]","[np.float64(0.05184821485679287), np.float64(0.03888616114259465), np.float64(0.03888616114259465), np.float64(0.02016291782879965), np.float64(0.026470744768833546)]",Kirsanova Anodina Aksenov,"['(SCONJ, ->, INTJ, advmod)' '(AUX, ->, NOUN, ccomp)'
 '(X, <-, PRON, nsubj:pass)' '(SYM, ->, PROPN, conj)'
 '(NUM, ->, ADV, root)']"
59,59,"[np.float64(282.47570370107024), np.float64(271.3547232533144), np.float64(196.94254864190708), np.float64(170.4044932305633), np.float64(139.72058569638142)]","[3, 31, 0, 221, 1]","[np.float64(0.07681589906003808), np.float64(0.046454255322921564), np.float64(0.10441772127227472), np.float64(0.014311767617469894), np.float64(0.09998273901008257)]",Knabe,"['(X, <-, PROPN, flat)' '(NUM, ->, ADV, root)' '(PROPN, ->, ADJ, advcl)'
 '(VERB, <-, CCONJ, expl)' '(X, ->, PROPN, mark)']"
60,60,"[np.float64(156.33343860658778), np.float64(152.41477488241821), np.float64(148.62135382616847), np.float64(143.17100868629763), np.float64(142.25617816132404)]","[153, 277, 1414, 73, 1253]","[np.float64(0.022411728360228932), np.float64(0.011205864180114466), np.float64(0.0), np.float64(0.0336175925403434), np.float64(0.0)]",Koni,"['(NOUN, ->, INTJ, obl)' '(VERB, <-, VERB, obj)'
 '(PART, ->, INTJ, nummod:gov)' '(DET, <-, CCONJ, fixed)'
 '(PUNCT, ->, NOUN, nmod)']"
61,61,"[np.float64(470.57952646809184), np.float64(316.6267283409462), np.float64(267.88979493689857), np.float64(245.8097170041849), np.float64(238.12178074205423)]","[212, 0, 284, 248, 51]","[np.float64(0.009599824665370554), np.float64(0.06904011751726287), np.float64(0.0077712866338713995), np.float64(0.008582807855989338), np.float64(0.022709652601772837)]",Kozlov,"['(NOUN, ->, ADP, acl:relcl)' '(PROPN, ->, ADJ, advcl)'
 '(PRON, <-, NUM, punct)' '(ADV, <-, NOUN, csubj)' '(NUM, <-, PART, case)']"
62,62,"[np.float64(270.2858036029518), np.float64(255.111474369994), np.float64(246.5222301627692), np.float64(242.40629196590484), np.float64(201.64179342653551)]","[49, 39, 94, 201, 599]","[np.float64(0.02883032208708618), np.float64(0.03170374272160049), np.float64(0.021215148863104053), np.float64(0.012170509274603279), np.float64(0.004428980957922415)]",Krapivin,"['(ADV, ->, ADP, parataxis)' '(ADV, <-, VERB, orphan)'
 '(PROPN, ->, NOUN, acl)' '(ADJ, ->, PUNCT, PAD)' '(ADJ, <-, AUX, csubj)']"
63,63,"[np.float64(352.35975930515355), np.float64(342.37317724902334), np.float64(270.66076538042034), np.float64(267.7234299582745), np.float64(257.6722332286843)]","[84, 51, 216, 36, 519]","[np.float64(0.023982872828165736), np.float64(0.030195480544684506), np.float64(0.013463417764786172), np.float64(0.03642646201672909), np.float64(0.006338663433239714)]",Kuprin,"['(ADJ, <-, INTJ, mark)' '(NUM, <-, PART, case)' '(PROPN, <-, DET, obj)'
 '(PRON, <-, CCONJ, advmod)' '(SYM, ->, VERB, orphan)']"
64,64,"[np.float64(153.27090188712293), np.float64(150.2118102061276), np.float64(140.36284945320975), np.float64(139.7868122604214), np.float64(136.9289820610185)]","[219, 173, 134, 84, 12]","[np.float64(0.012903110215119492), np.float64(0.015760666828667072), np.float64(0.018804017799268928), np.float64(0.026731434348308755), np.float64(0.06516544123196207)]",Lermontov,"['(PAD, ->, ADV, discourse)' '(VERB, ->, PROPN, flat:name)'
 '(PRON, ->, VERB, det)' '(ADJ, <-, INTJ, mark)' '(PROPN, <-, PRON, obj)']"
65,65,"[np.float64(239.40072139110484), np.float64(228.58495270988547), np.float64(143.12756821411762), np.float64(136.74592273941047), np.float64(102.08129319577273)]","[559, 43, 348, 121, 475]","[np.float64(0.006750782385141983), np.float64(0.05150925365083846), np.float64(0.011449095355878286), np.float64(0.02716081565252542), np.float64(0.008299154629237365)]",Losev,"['(PROPN, ->, AUX, cop)' '(PRON, ->, ADV, acl:relcl)'
 '(INTJ, ->, ADJ, nsubj)' '(PUNCT, <-, VERB, obl)'
 '(ADV, <-, VERB, csubj)']"
66,66,"[np.float64(289.71859585027977), np.float64(253.95900703529267), np.float64(232.82805145776464), np.float64(215.5676975334476), np.float64(207.1206171497373)]","[26, 78, 39, 53, 92]","[np.float64(0.02978974019597189), np.float64(0.014894870097985945), np.float64(0.024824783496643243), np.float64(0.019859826797314593), np.float64(0.014894870097985945)]",Lubimova,"['(PAD, ->, PAD, orphan)' '(PART, <-, PART, mark)'
 '(ADV, <-, VERB, orphan)' '(ADV, ->, NOUN, obl)' '(ADP, ->, PAD, acl)']"
67,67,"[np.float64(350.4820102382976), np.float64(295.050960769291), np.float64(273.38280981924265), np.float64(260.3515575236109), np.float64(245.80166843744666)]","[289, 2, 94, 100, 1247]","[np.float64(0.009172408038192552), np.float64(0.07170953585921833), np.float64(0.02010777111499229), np.float64(0.019354772909287325), np.float64(0.00118642264188173)]",Lukyanenko,"['(NOUN, ->, PART, cop)' '(PRON, <-, AUX, orphan)'
 '(PROPN, ->, NOUN, acl)' '(ADJ, <-, NUM, nsubj)' '(PART, ->, PRON, root)']"
68,68,"[np.float64(174.28417079403812), np.float64(158.70278511753153), np.float64(158.30551002213824), np.float64(142.9473411907747), np.float64(141.11760369565837)]","[54, 1229, 130, 114, 1167]","[np.float64(0.026358836060742356), np.float64(0.0018827740043387397), np.float64(0.015062192034709918), np.float64(0.01694496603904866), np.float64(0.0018827740043387397)]",Lungu,"['(VERB, <-, INTJ, nsubj)' '(PART, ->, PRON, advcl)'
 '(PART, ->, DET, nsubj)' '(PAD, ->, NOUN, amod)' '(PROPN, ->, X, ccomp)']"
69,69,"[np.float64(211.84885102225525), np.float64(179.66137842980564), np.float64(111.96785698228437), np.float64(101.31878119336365), np.float64(99.92568781067212)]","[85, 759, 64, 185, 469]","[np.float64(0.040679234956765564), np.float64(0.0065835353664593565), np.float64(0.04727806942628922), np.float64(0.024304188064567696), np.float64(0.011676083519877867)]",Makushinskiyi,"['(ADV, ->, ADV, iobj)' '(AUX, ->, ADJ, nsubj)' '(ADP, ->, PART, appos)'
 '(INTJ, <-, ADV, nummod:gov)' '(ADJ, <-, PUNCT, flat:foreign)']"
70,70,"[np.float64(146.69401661802766), np.float64(137.94258691316443), np.float64(116.0662361084385), np.float64(101.41577380416555), np.float64(98.56127520884891)]","[115, 9, 10, 29, 526]","[np.float64(0.027570877503685916), np.float64(0.08635229616019682), np.float64(0.08613300121101776), np.float64(0.058738696078395845), np.float64(0.007677682522054117)]",Malevish,"['(PRON, <-, X, csubj)' '(NOUN, ->, AUX, obl)' '(X, <-, PRON, nsubj:pass)'
 '(DET, ->, SCONJ, acl:relcl)' '(PUNCT, ->, ADV, fixed)']"
71,71,"[np.float64(355.0847699642232), np.float64(228.75982418334686), np.float64(204.92742102937615), np.float64(196.7124462142268), np.float64(194.70448402894561)]","[32, 360, 6, 22, 44]","[np.float64(0.048487973532687224), np.float64(0.009458448951861612), np.float64(0.0728402854835741), np.float64(0.052844308165969904), np.float64(0.039742403087309)]",Mamin-Sibiryak,"['(DET, ->, ADP, advmod)' '(VERB, <-, PUNCT, obl)'
 '(VERB, ->, DET, fixed)' '(PRON, ->, ADP, mark)' '(X, ->, NUM, flat)']"
72,72,"[np.float64(275.9245204812749), np.float64(247.31328756562465), np.float64(204.8722048736611), np.float64(193.1983178778933), np.float64(182.93014671308512)]","[55, 129, 76, 19, 213]","[np.float64(0.03336023298022594), np.float64(0.022240155320150622), np.float64(0.027800194150188275), np.float64(0.05560038830037655), np.float64(0.016144483679059927)]",Mamina,"['(PART, ->, X, cop)' '(DET, ->, ADP, root)' '(PRON, ->, PRON, mark)'
 '(NOUN, <-, VERB, iobj)' '(NUM, <-, PRON, nsubj)']"
73,73,"[np.float64(262.5297993166565), np.float64(200.5714858452091), np.float64(179.3922050385767), np.float64(179.05044764088944), np.float64(170.8267304375363)]","[33, 10, 88, 24, 73]","[np.float64(0.0401051981183044), np.float64(0.05213675755379572), np.float64(0.02406311887098264), np.float64(0.0401051981183044), np.float64(0.02807363868281308)]",Marchik,"['(PART, <-, NUM, iobj)' '(X, <-, PRON, nsubj:pass)'
 '(DET, ->, AUX, acl:relcl)' '(VERB, ->, PART, obl)'
 '(DET, <-, CCONJ, fixed)']"
74,74,"[np.float64(291.16985520631897), np.float64(247.30738551769124), np.float64(221.08903743142497), np.float64(216.5143957428564), np.float64(206.40454339116752)]","[49, 198, 513, 1178, 271]","[np.float64(0.03358605216594095), np.float64(0.014764056958536947), np.float64(0.006052371390103653), np.float64(0.0014494675483244463), np.float64(0.011977074897494404)]",Marinina,"['(ADV, ->, ADP, parataxis)' '(AUX, ->, ADV, parataxis)'
 '(PAD, <-, PART, cc)' '(ADJ, ->, PUNCT, nummod)' '(PUNCT, ->, ADJ, root)']"
75,75,"[np.float64(211.7165219294172), np.float64(176.57105380743772), np.float64(165.09574830497382), np.float64(164.72321800178258), np.float64(154.2670712598174)]","[10, 49, 136, 44, 126]","[np.float64(0.07868689839368025), np.float64(0.037769711228966524), np.float64(0.018884855614483262), np.float64(0.037769711228966524), np.float64(0.018884855614483262)]",Mikhalkov,"['(X, <-, PRON, nsubj:pass)' '(ADV, ->, ADP, parataxis)'
 '(VERB, <-, X, compound)' '(X, ->, NUM, flat)' '(PROPN, ->, SYM, cc)']"
76,76,"[np.float64(188.13758159314014), np.float64(187.5747687515269), np.float64(179.0218733615643), np.float64(178.039326418603), np.float64(176.38141523297259)]","[648, 158, 417, 57, 110]","[np.float64(0.006307405214194059), np.float64(0.019940253235644984), np.float64(0.009698745604622645), np.float64(0.0330011160285959), np.float64(0.025009025508736293)]",Moshkov,"['(ADJ, ->, DET, nsubj)' '(VERB, ->, PUNCT, amod)'
 '(PART, ->, SCONJ, root)' '(VERB, <-, PROPN, acl)' '(AUX, <-, PRON, obj)']"
77,77,"[np.float64(187.87752420280253), np.float64(167.31503417494994), np.float64(152.56754808350357), np.float64(143.29021665958066), np.float64(133.3669839866792)]","[43, 255, 157, 188, 1087]","[np.float64(0.033177676387662246), np.float64(0.016588838193831123), np.float64(0.016588838193831123), np.float64(0.016588838193831123), np.float64(0.0)]",NakedScience,"['(PRON, ->, ADV, acl:relcl)' '(PAD, ->, SCONJ, parataxis)'
 '(NOUN, <-, PAD, mark)' '(ADP, ->, SYM, punct)'
 '(NOUN, <-, X, nummod:entity)']"
78,78,"[np.float64(236.97608720266572), np.float64(207.61124516224737), np.float64(163.14229345102336), np.float64(114.57010633900225), np.float64(94.21443812478039)]","[25, 3, 48, 222, 7]","[np.float64(0.05581947262747708), np.float64(0.12328041269918381), np.float64(0.04115106854638266), np.float64(0.014405025194187635), np.float64(0.0902898797233459)]",nlobooks[ru],"['(AUX, <-, PART, cc)' '(X, <-, PROPN, flat)' '(ADP, ->, VERB, obl)'
 '(PRON, <-, PART, nummod)' '(VERB, <-, PAD, case)']"
79,79,"[np.float64(222.64193672238892), np.float64(215.2287255901614), np.float64(196.02661960276757), np.float64(195.3798567131069), np.float64(182.71256500694597)]","[16, 31, 644, 207, 364]","[np.float64(0.044471168659033534), np.float64(0.036440358345348305), np.float64(0.003315354153225318), np.float64(0.011884108222268172), np.float64(0.007370277271547155)]",Nosov,"['(INTJ, ->, ADP, mark)' '(NUM, ->, ADV, root)'
 '(PROPN, ->, DET, parataxis)' '(INTJ, <-, ADV, parataxis)'
 '(NOUN, ->, VERB, aux)']"
80,80,"[np.float64(271.26610459561863), np.float64(268.5661557592331), np.float64(260.0962770965953), np.float64(244.05769572378153), np.float64(238.6808638783207)]","[58, 13, 22, 160, 111]","[np.float64(0.02494740548616501), np.float64(0.043683040663404976), np.float64(0.03941246903014565), np.float64(0.013718502537669153), np.float64(0.01682558927699176)]",Oseeva,"['(NOUN, ->, ADV, nsubj)' '(PART, <-, NUM, parataxis)'
 '(PRON, ->, ADP, mark)' '(PRON, <-, ADJ, nummod)' '(PROPN, ->, NUM, obl)']"
81,81,"[np.float64(148.45574752284207), np.float64(146.5833178065458), np.float64(145.01770639886058), np.float64(140.1661117709206), np.float64(138.9765634762401)]","[199, 215, 30, 225, 204]","[np.float64(0.012056756485520435), np.float64(0.012056756485520435), np.float64(0.03458005545101278), np.float64(0.012056756485520435), np.float64(0.012056756485520435)]",Oster,"['(INTJ, <-, VERB, advcl)' '(ADJ, ->, ADP, fixed)'
 '(NOUN, <-, SCONJ, mark)' '(AUX, <-, DET, conj)' '(PRON, ->, DET, amod)']"
82,82,"[np.float64(181.32005433015757), np.float64(174.9661646117555), np.float64(169.1964572405845), np.float64(156.83939896176685), np.float64(150.69155799739778)]","[134, 195, 48, 203, 608]","[np.float64(0.019112633478254443), np.float64(0.012741755652169631), np.float64(0.03822526695650889), np.float64(0.012741755652169631), np.float64(0.006370877826084816)]",Plevako,"['(PRON, ->, VERB, det)' '(PRON, <-, SCONJ, discourse)'
 '(ADP, ->, VERB, obl)' '(ADV, ->, PROPN, nmod)'
 '(ADV, <-, PROPN, orphan)']"
83,83,"[np.float64(233.78072677744268), np.float64(137.3233783788881), np.float64(136.17855148633282), np.float64(135.85870859084812), np.float64(131.80236189238988)]","[29, 138, 736, 35, 1395]","[np.float64(0.04531119485741261), np.float64(0.021413805746568967), np.float64(0.004752897297858659), np.float64(0.04139847775018298), np.float64(0.0022109010084451902)]",Preobrazhensky,"['(DET, ->, SCONJ, acl:relcl)' '(ADJ, ->, VERB, obl)'
 '(DET, ->, PUNCT, nummod)' '(ADJ, ->, PROPN, discourse)'
 '(PRON, ->, PART, cc)']"
84,84,"[np.float64(273.5920286694422), np.float64(230.59334511335777), np.float64(216.07421786180117), np.float64(175.38448338992742), np.float64(169.06446984187397)]","[192, 18, 47, 42, 52]","[np.float64(0.013281878666587614), np.float64(0.039516080342015925), np.float64(0.028651181676601203), np.float64(0.02981891765547655), np.float64(0.027856771928030207)]",Prokofeva,"['(PRON, <-, PRON, discourse)' '(ADP, <-, PRON, cc)'
 '(NOUN, ->, ADP, acl)' '(X, <-, ADV, fixed)' '(SYM, ->, PROPN, conj)']"
85,85,"[np.float64(258.08676236710244), np.float64(179.96663823360845), np.float64(179.39032547389007), np.float64(139.02610472103746), np.float64(137.4368248253877)]","[20, 68, 19, 125, 81]","[np.float64(0.05538418810504756), np.float64(0.02770738662506973), np.float64(0.05602403364329935), np.float64(0.020078585939568128), np.float64(0.02489957050813305)]",Pushkin,"['(PRON, ->, NOUN, csubj)' '(NUM, ->, ADJ, root)' '(NOUN, <-, VERB, iobj)'
 '(NOUN, ->, CCONJ, flat:foreign)' '(VERB, <-, X, nummod)']"
86,86,"[np.float64(255.0615610125299), np.float64(58.94147719307517), np.float64(51.31785252318963), np.float64(50.22235417759142), np.float64(39.167777627698875)]","[0, 53, 14, 5, 92]","[np.float64(0.08575863646846944), np.float64(0.027127125637604103), np.float64(0.050305113224150225), np.float64(0.06036613586898028), np.float64(0.018780317749110532)]",pvlida,"['(PROPN, ->, ADJ, advcl)' '(ADV, ->, NOUN, obl)'
 '(PRON, ->, NOUN, flat:foreign)' '(PAD, <-, NUM, amod)'
 '(ADP, ->, PAD, acl)']"
87,87,"[np.float64(282.9193299034048), np.float64(207.33016710540676), np.float64(186.71556866567323), np.float64(176.84728918666434), np.float64(175.11681305934584)]","[66, 96, 23, 853, 0]","[np.float64(0.02350701034533883), np.float64(0.01873938251933349), np.float64(0.03919743119314598), np.float64(0.0024574609292811697), np.float64(0.11651868026288226)]",Regentov,"['(NUM, <-, PUNCT, nummod:gov)' '(ADP, ->, ADV, appos)'
 '(NOUN, ->, VERB, flat:foreign)' '(PROPN, ->, PROPN, amod)'
 '(PROPN, ->, ADJ, advcl)']"
88,88,"[np.float64(220.54445561085157), np.float64(218.39379879351432), np.float64(205.2394010525648), np.float64(202.5711479690666), np.float64(179.84306855906485)]","[259, 67, 176, 100, 252]","[np.float64(0.011737128708332756), np.float64(0.02820410401698054), np.float64(0.01573683969209278), np.float64(0.023633724764651223), np.float64(0.012287934692623721)]",Rubina,"['(PROPN, <-, NUM, orphan)' '(NUM, <-, PRON, conj)'
 '(DET, <-, PRON, discourse)' '(ADJ, <-, NUM, nsubj)'
 '(X, <-, ADJ, compound)']"
89,89,"[np.float64(313.38757332742694), np.float64(289.6133190653318), np.float64(255.78184461483536), np.float64(249.7027813100036), np.float64(228.13086020389548)]","[290, 76, 265, 370, 61]","[np.float64(0.010107936214472165), np.float64(0.02303700729096302), np.float64(0.010549434608709008), np.float64(0.00822949197718934), np.float64(0.025459550820788525)]",Rybakov,"['(VERB, <-, PROPN, aux)' '(PRON, ->, PRON, mark)'
 '(ADJ, ->, CCONJ, conj)' '(ADV, ->, VERB, nummod:gov)'
 '(PART, <-, PROPN, conj)']"
90,90,"[np.float64(166.40676282258698), np.float64(163.00734040999018), np.float64(152.6496236481841), np.float64(143.78379020079757), np.float64(133.2324403508933)]","[284, 0, 3, 124, 255]","[np.float64(0.01074268023510301), np.float64(0.111167853917932), np.float64(0.07982095303331986), np.float64(0.021781451755751195), np.float64(0.011798843757039455)]",Salnikov,"['(PRON, <-, NUM, punct)' '(PROPN, ->, ADJ, advcl)' '(X, <-, PROPN, flat)'
 '(DET, ->, PAD, ccomp)' '(PAD, ->, SCONJ, parataxis)']"
91,91,"[np.float64(189.94300420147027), np.float64(180.73786307425024), np.float64(161.27186669725486), np.float64(153.22956640942863), np.float64(147.58465919605555)]","[40, 0, 43, 205, 628]","[np.float64(0.050907834464815754), np.float64(0.09862249379061191), np.float64(0.0440371272970086), np.float64(0.01944358213770978), np.float64(0.0072544993318836345)]",SaltykovSchedrin,"['(ADJ, ->, ADJ, ccomp)' '(PROPN, ->, ADJ, advcl)'
 '(PRON, ->, ADV, acl:relcl)' '(INTJ, ->, AUX, conj)'
 '(PAD, ->, PUNCT, punct)']"
92,92,"[np.float64(151.60145488933168), np.float64(149.96512526419295), np.float64(142.23575845961338), np.float64(122.6260065420301), np.float64(112.4205390830856)]","[2, 7, 16, 108, 69]","[np.float64(0.1074371709868924), np.float64(0.0805778782401693), np.float64(0.06906675277728798), np.float64(0.02467041905625824), np.float64(0.034069129767583715)]",Semihatov,"['(PRON, <-, AUX, orphan)' '(VERB, <-, PAD, case)' '(INTJ, ->, ADP, mark)'
 '(PAD, <-, VERB, conj)' '(VERB, ->, X, aux)']"
93,93,"[np.float64(307.0970400119227), np.float64(306.77540668964645), np.float64(215.92820425427786), np.float64(212.14434825863887), np.float64(186.9777244040938)]","[198, 28, 455, 7, 237]","[np.float64(0.013558892141232267), np.float64(0.04045442749073039), np.float64(0.006693524768704587), np.float64(0.07361985946761905), np.float64(0.012030573719211487)]",Serafimovich,"['(AUX, ->, ADV, parataxis)' '(X, <-, NUM, root)' '(NOUN, <-, X, case)'
 '(VERB, <-, PAD, case)' '(AUX, ->, NUM, obl)']"
94,94,"[np.float64(258.06264440659095), np.float64(248.6394176943679), np.float64(222.00654504284051), np.float64(199.10505836889428), np.float64(185.56321059328494)]","[162, 870, 77, 78, 156]","[np.float64(0.020879839127810256), np.float64(0.004104479794533612), np.float64(0.0332442058156168), np.float64(0.03305684387582714), np.float64(0.02162218589246301)]",Sergeev-Tsenskij,"['(VERB, ->, PROPN, obl)' '(SYM, <-, X, case)' '(VERB, <-, CCONJ, cc)'
 '(PART, <-, PART, mark)' '(PART, <-, PUNCT, advmod)']"
95,95,"[np.float64(172.61346039391898), np.float64(136.67028376706847), np.float64(115.46109429788903), np.float64(108.41924292586322), np.float64(107.44263500723466)]","[71, 109, 81, 54, 23]","[np.float64(0.051010279057442855), np.float64(0.04113732182051843), np.float64(0.047795187303119), np.float64(0.05649779758348931), np.float64(0.09277681599734813)]",Shevtsov,"['(PROPN, <-, PAD, parataxis)' '(PRON, ->, NOUN, conj)'
 '(VERB, <-, X, nummod)' '(VERB, <-, INTJ, nsubj)'
 '(NOUN, ->, VERB, flat:foreign)']"
96,96,"[np.float64(634.2247979694426), np.float64(288.68185938034014), np.float64(167.74578020544712), np.float64(164.31487580852837), np.float64(152.0418904074554)]","[15, 20, 88, 62, 11]","[np.float64(0.060199055917933654), np.float64(0.05265575920298579), np.float64(0.024481722176844748), np.float64(0.030445840874867357), np.float64(0.06801814687484635)]",Shukshin,"['(ADJ, ->, INTJ, nummod)' '(PRON, ->, NOUN, csubj)'
 '(DET, ->, AUX, acl:relcl)' '(DET, ->, PRON, acl)'
 '(AUX, ->, NOUN, ccomp)']"
97,97,"[np.float64(158.81142622842245), np.float64(143.8713926604761), np.float64(137.06100134292018), np.float64(128.5899420361283), np.float64(125.1685984735671)]","[79, 96, 6, 356, 263]","[np.float64(0.03988723508505275), np.float64(0.02659149005670183), np.float64(0.0930702151984564), np.float64(0.013295745028350915), np.float64(0.013295745028350915)]",ShushpanovLouk,"['(NUM, <-, CCONJ, punct)' '(ADP, ->, ADV, appos)'
 '(VERB, ->, DET, fixed)' '(ADV, ->, CCONJ, cc)' '(DET, ->, NOUN, punct)']"
98,98,"[np.float64(173.83527523756138), np.float64(153.7480055194529), np.float64(142.93071185324908), np.float64(135.0130911720998), np.float64(134.2417065689909)]","[66, 456, 76, 145, 149]","[np.float64(0.02997441978945887), np.float64(0.006796747417227617), np.float64(0.025182331020570856), np.float64(0.01838558360334324), np.float64(0.01838558360334324)]",Shushpanov,"['(NUM, <-, PUNCT, nummod:gov)' '(ADP, ->, X, fixed)'
 '(PRON, ->, PRON, mark)' '(PAD, <-, VERB, aux)' '(PUNCT, ->, PRON, det)']"
99,99,"[np.float64(238.90757076910808), np.float64(205.72171400357425), np.float64(198.0160547617945), np.float64(192.7539446460328), np.float64(183.94514281726495)]","[121, 7, 161, 75, 141]","[np.float64(0.02301924245102947), np.float64(0.07817643220487108), np.float64(0.019945156374583783), np.float64(0.030222047443467164), np.float64(0.02107764732052466)]",Simonov,"['(PUNCT, <-, VERB, obl)' '(VERB, <-, PAD, case)'
 '(INTJ, ->, ADV, acl:relcl)' '(PROPN, <-, DET, fixed)'
 '(SCONJ, ->, PART, aux)']"
100,100,"[np.float64(533.9955139869181), np.float64(133.97421492218484), np.float64(111.91784312050649), np.float64(103.17491151421143), np.float64(94.16990419870062)]","[11, 21, 10, 73, 35]","[np.float64(0.051821377242834504), np.float64(0.043078706783238926), np.float64(0.05271484926426268), np.float64(0.021539353391619463), np.float64(0.030155094748267254)]",Soloviev,"['(AUX, ->, NOUN, ccomp)' '(VERB, ->, INTJ, punct)'
 '(X, <-, PRON, nsubj:pass)' '(DET, <-, CCONJ, fixed)'
 '(ADJ, ->, PROPN, discourse)']"
101,101,"[np.float64(445.29133826716605), np.float64(280.22930307536836), np.float64(239.93146150917693), np.float64(234.89863151045017), np.float64(218.1047035883954)]","[53, 0, 5, 8, 6]","[np.float64(0.03241534296421819), np.float64(0.10708787116483487), np.float64(0.09261653722364098), np.float64(0.0752509364942083), np.float64(0.08103947007068585)]",Solovyov,"['(ADV, ->, NOUN, obl)' '(PROPN, ->, ADJ, advcl)' '(PAD, <-, NUM, amod)'
 '(NOUN, <-, DET, PAD)' '(VERB, ->, DET, fixed)']"
102,102,"[np.float64(191.08126577265233), np.float64(146.41903043753044), np.float64(142.00877952923054), np.float64(141.22292891113784), np.float64(138.76979770564765)]","[10, 14, 131, 81, 84]","[np.float64(0.08745023558655576), np.float64(0.075514489297301), np.float64(0.024381494101925288), np.float64(0.031945485667526224), np.float64(0.03146918843796255)]",Stepnova,"['(X, <-, PRON, nsubj:pass)' '(PRON, ->, NOUN, flat:foreign)'
 '(PROPN, <-, VERB, amod)' '(VERB, <-, X, nummod)' '(ADJ, <-, INTJ, mark)']"
103,103,"[np.float64(441.9769839080152), np.float64(281.09295278238585), np.float64(277.81950396806775), np.float64(255.5247946909443), np.float64(240.19456781645283)]","[33, 49, 551, 218, 155]","[np.float64(0.03156630232567652), np.float64(0.027984526117484775), np.float64(0.005472519473044672), np.float64(0.012434811326376265), np.float64(0.01513262036845498)]",Strugatskie,"['(PART, <-, NUM, iobj)' '(ADV, ->, ADP, parataxis)'
 '(PAD, ->, VERB, cop)' '(INTJ, ->, CCONJ, mark)' '(NUM, ->, ADJ, advmod)']"
